age,gender,education_level,job_title,years_of_experience,salary,gender_encoded,education_level_encoded,job_title_encoded
32.0,Male,Bachelor's,Software Engineer,5.0,90000.0,1,0,177
28.0,Female,Master's,Data Analyst,3.0,65000.0,0,3,18
45.0,Male,PhD,Senior Manager,15.0,150000.0,1,5,145
36.0,Female,Bachelor's,Sales Associate,7.0,60000.0,0,0,116
52.0,Male,Master's,Director,20.0,200000.0,1,3,26
29.0,Male,Bachelor's,Marketing Analyst,2.0,55000.0,1,0,94
42.0,Female,Master's,Product Manager,12.0,120000.0,0,3,107
31.0,Male,Bachelor's,Sales Manager,4.0,80000.0,1,0,119
26.0,Female,Bachelor's,Marketing Coordinator,1.0,45000.0,0,0,95
38.0,Male,PhD,Senior Scientist,10.0,110000.0,1,5,166
29.0,Male,Master's,Software Developer,3.0,75000.0,1,3,176
48.0,Female,Bachelor's,HR Manager,18.0,140000.0,0,0,48
35.0,Male,Bachelor's,Financial Analyst,6.0,65000.0,1,0,41
40.0,Female,Master's,Project Manager,14.0,130000.0,0,3,110
27.0,Male,Bachelor's,Customer Service Rep,2.0,40000.0,1,0,14
44.0,Male,Bachelor's,Operations Manager,16.0,125000.0,1,0,103
33.0,Female,Master's,Marketing Manager,7.0,90000.0,0,3,97
39.0,Male,PhD,Senior Engineer,12.0,115000.0,1,5,131
25.0,Female,Bachelor's,Data Entry Clerk,0.0,35000.0,0,0,19
51.0,Male,Bachelor's,Sales Director,22.0,180000.0,1,0,117
34.0,Female,Master's,Business Analyst,5.0,80000.0,0,3,4
47.0,Male,Master's,VP of Operations,19.0,190000.0,1,3,191
30.0,Male,Bachelor's,IT Support,2.0,50000.0,1,0,54
36.0,Female,Bachelor's,Recruiter,9.0,60000.0,0,0,113
41.0,Male,Master's,Financial Manager,13.0,140000.0,1,3,42
28.0,Female,Bachelor's,Social Media Specialist,3.0,45000.0,0,0,175
37.0,Female,Master's,Software Manager,11.0,110000.0,0,3,179
24.0,Male,Bachelor's,Junior Developer,1.0,40000.0,1,0,67
43.0,Female,PhD,Senior Consultant,15.0,140000.0,0,5,127
33.0,Male,Master's,Product Designer,6.0,90000.0,1,3,106
50.0,Male,Bachelor's,CEO,25.0,250000.0,1,0,7
31.0,Female,Bachelor's,Accountant,4.0,55000.0,0,0,1
29.0,Male,Master's,Data Scientist,3.0,75000.0,1,3,20
39.0,Female,Bachelor's,Marketing Specialist,10.0,65000.0,0,0,98
46.0,Male,PhD,Senior Manager,20.0,170000.0,1,5,145
27.0,Male,Bachelor's,Technical Writer,2.0,45000.0,1,0,186
35.0,Female,Bachelor's,HR Generalist,7.0,60000.0,0,0,47
42.0,Male,Master's,Project Engineer,14.0,115000.0,1,3,109
26.0,Female,Bachelor's,Customer Success Rep,1.0,40000.0,0,0,17
49.0,Male,Bachelor's,Sales Executive,21.0,160000.0,1,0,118
34.0,Female,Master's,UX Designer,5.0,80000.0,0,3,188
48.0,Male,Master's,Operations Director,18.0,190000.0,1,3,102
30.0,Male,Bachelor's,Network Engineer,3.0,60000.0,1,0,99
36.0,Female,Bachelor's,Administrative Assistant,8.0,45000.0,0,0,2
41.0,Male,Master's,Strategy Consultant,13.0,130000.0,1,3,181
28.0,Female,Bachelor's,Copywriter,2.0,40000.0,0,0,11
32.0,Male,Bachelor's,Account Manager,5.0,75000.0,1,0,0
45.0,Female,Master's,Director of Marketing,16.0,180000.0,0,3,34
38.0,Male,PhD,Senior Scientist,11.0,120000.0,1,5,166
25.0,Male,Bachelor's,Help Desk Analyst,0.0,35000.0,1,0,49
51.0,Female,Bachelor's,Customer Service Manager,22.0,130000.0,0,0,13
33.0,Male,Master's,Business Intelligence Analyst,7.0,85000.0,1,3,6
40.0,Female,Bachelor's,Event Coordinator,12.0,60000.0,0,0,39
47.0,Male,Master's,VP of Finance,19.0,200000.0,1,3,190
29.0,Female,Bachelor's,Graphic Designer,3.0,50000.0,0,0,46
36.0,Male,Bachelor's,Sales Manager,9.0,95000.0,1,0,119
27.0,Female,Master's,UX Researcher,2.0,65000.0,0,3,189
43.0,Male,PhD,Senior Engineer,17.0,140000.0,1,5,131
30.0,Female,Bachelor's,Social Media Manager,4.0,55000.0,0,0,174
35.0,Male,Master's,Product Manager,7.0,105000.0,1,3,107
51.0,Female,Master's,Director of Operations,23.0,170000.0,0,3,35
29.0,Male,Bachelor's,Marketing Analyst,3.0,50000.0,1,0,94
40.0,Female,Bachelor's,HR Manager,12.0,80000.0,0,0,48
47.0,Male,PhD,Senior Data Scientist,21.0,180000.0,1,5,130
26.0,Male,Bachelor's,Junior Accountant,1.0,35000.0,1,0,57
38.0,Female,Master's,Digital Marketing Manager,10.0,90000.0,0,3,24
46.0,Male,Bachelor's,IT Manager,19.0,120000.0,1,0,53
31.0,Female,Bachelor's,Customer Service Representative,5.0,45000.0,0,0,15
34.0,Male,Master's,Business Development Manager,8.0,90000.0,1,3,5
49.0,Female,Master's,Senior Financial Analyst,18.0,150000.0,0,3,133
33.0,Male,Bachelor's,Web Developer,6.0,65000.0,1,0,192
39.0,Female,Bachelor's,Recruiter,11.0,70000.0,0,0,113
45.0,Male,PhD,Research Director,16.0,190000.0,1,5,114
28.0,Male,Bachelor's,Technical Support Specialist,2.0,40000.0,1,0,185
42.0,Female,Master's,Creative Director,14.0,120000.0,0,3,12
37.0,Male,Bachelor's,Project Manager,10.0,95000.0,1,0,110
50.0,Female,Bachelor's,Operations Manager,22.0,160000.0,0,0,103
32.0,Male,Master's,Senior Software Engineer,6.0,100000.0,1,3,169
48.0,Female,Master's,Human Resources Director,20.0,180000.0,0,3,51
30.0,Female,Bachelor's,Content Marketing Manager,3.0,55000.0,0,0,10
36.0,Male,Bachelor's,Technical Recruiter,8.0,70000.0,1,0,184
41.0,Female,Master's,Data Analyst,13.0,80000.0,0,3,18
25.0,Male,Bachelor's,Sales Representative,0.0,30000.0,1,0,121
52.0,Male,PhD,Chief Technology Officer,24.0,250000.0,1,5,9
29.0,Female,Bachelor's,Junior Designer,2.0,40000.0,0,0,66
34.0,Female,Master's,Financial Advisor,10.0,95000.0,0,3,40
27.0,Male,Bachelor's,Junior Account Manager,2.0,45000.0,1,0,56
40.0,Female,Bachelor's,HR Generalist,15.0,80000.0,0,0,47
